"Caller","Callee"
"android.app.backup.SharedPreferencesBackupHelper.restoreEntity(BackupDataInputStream)","android.app.backup.BackupDataInputStream.size()"
"android.app.backup.SharedPreferencesBackupHelper.restoreEntity(BackupDataInputStream)","android.app.backup.FileBackupHelperBase.writeFile(java.io.File, android.app.backup.BackupDataInputStream)"
"android.app.backup.SharedPreferencesBackupHelper.restoreEntity(BackupDataInputStream)","android.content.Context.getSharedPrefsFile(java.lang.String)"
"android.app.backup.SharedPreferencesBackupHelper.restoreEntity(BackupDataInputStream)","android.util.Log.d(java.lang.String, java.lang.String)"
"android.app.backup.SharedPreferencesBackupHelper.restoreEntity(BackupDataInputStream)","java.io.File.getAbsoluteFile()"
"android.app.backup.SharedPreferencesBackupHelper.restoreEntity(BackupDataInputStream)","android.app.backup.BackupDataInputStream.getKey()"
"android.app.backup.SharedPreferencesBackupHelper.restoreEntity(BackupDataInputStream)","android.app.backup.FileBackupHelperBase.isKeyInList(java.lang.String, java.lang.String[])"
"android.app.backup.SharedPreferencesBackupHelper.performBackup(ParcelFileDescriptor, BackupDataOutput, ParcelFileDescriptor)","java.io.File.getAbsolutePath()"
"android.app.backup.SharedPreferencesBackupHelper.performBackup(ParcelFileDescriptor, BackupDataOutput, ParcelFileDescriptor)","android.app.backup.FileBackupHelperBase.performBackup_checked(android.os.ParcelFileDescriptor, android.app.backup.BackupDataOutput, android.os.ParcelFileDescriptor, java.lang.String[], java.lang.String[])"
"android.app.backup.SharedPreferencesBackupHelper.performBackup(ParcelFileDescriptor, BackupDataOutput, ParcelFileDescriptor)","android.content.Context.getSharedPrefsFile(java.lang.String)"
"android.app.backup.SharedPreferencesBackupHelper.performBackup(ParcelFileDescriptor, BackupDataOutput, ParcelFileDescriptor)","android.app.QueuedWork.waitToFinish()"
"android.util.StateSet.dump(int[])","java.lang.StringBuilder.append(java.lang.String)"
"android.util.StateSet.dump(int[])","java.lang.StringBuilder.toString()"
"android.util.StateSet.stateSetMatches(int[], int[])","android.util.StateSet.isWildCard(int[])"
"android.util.StateSet.trimStateSet(int[], int)","java.lang.System.arraycopy(int[], int, int[], int, int)"
"android.os.SystemService.stop(String)","android.os.SystemProperties.set(java.lang.String, java.lang.String)"
"android.os.SystemService.start(String)","android.os.SystemProperties.set(java.lang.String, java.lang.String)"
"android.view.LayoutInflater.from(Context)","android.content.Context.getSystemService(java.lang.String)"
"android.view.LayoutInflater.inflate(XmlPullParser, ViewGroup, boolean)","java.io.PrintStream.println(java.lang.String)"
"android.view.LayoutInflater.inflate(XmlPullParser, ViewGroup, boolean)","android.view.View.setLayoutParams(android.view.ViewGroup.LayoutParams)"
"android.view.LayoutInflater.inflate(XmlPullParser, ViewGroup, boolean)","java.lang.String.equals(java.lang.String)"
"android.view.LayoutInflater.inflate(XmlPullParser, ViewGroup, boolean)","android.view.LayoutInflater.createViewFromTag(java.lang.String, android.util.AttributeSet)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","java.io.PrintStream.println(java.lang.String)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","android.view.LayoutInflater.Factory.onCreateView(java.lang.String, android.content.Context, android.util.AttributeSet)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","android.view.LayoutInflater.createView(java.lang.String, null, android.util.AttributeSet)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","android.view.LayoutInflater.onCreateView(java.lang.String, android.util.AttributeSet)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","java.lang.Throwable.initCause(java.lang.ClassNotFoundException)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","android.util.AttributeSet.getAttributeValue(null, java.lang.String)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","java.lang.String.equals(java.lang.String)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","java.lang.String.indexOf(char)"
"android.view.LayoutInflater.createViewFromTag(String, AttributeSet)","android.util.AttributeSet.getPositionDescription()"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.util.HashMap.put(java.lang.String, boolean)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","android.view.LayoutInflater.failNotAllowed(java.lang.String, java.lang.String, android.util.AttributeSet)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.util.HashMap.put(java.lang.String, java.lang.reflect.Constructor)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.lang.Boolean.equals(java.lang.Boolean)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.lang.Class.getConstructor(java.lang.Class[])"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.lang.reflect.Constructor.newInstance(java.lang.Object[])"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","android.util.AttributeSet.getPositionDescription()"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","android.view.LayoutInflater.Filter.onLoadClass(java.lang.Class)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.lang.Throwable.initCause(java.lang.NoSuchMethodException)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","android.content.Context.getClassLoader()"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.util.HashMap.get(java.lang.String)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.lang.ClassLoader.loadClass(java.lang.String)"
"android.view.LayoutInflater.createView(String, String, AttributeSet)","java.lang.Class.getName()"
"android.view.LayoutInflater.onCreateView(String, Context, AttributeSet)","android.view.LayoutInflater.Factory.onCreateView(java.lang.String, android.content.Context, android.util.AttributeSet)"
"android.view.LayoutInflater.rInflate(XmlPullParser, View, AttributeSet)","android.view.View.onFinishInflate()"
"android.view.LayoutInflater.rInflate(XmlPullParser, View, AttributeSet)","java.lang.String.equals(java.lang.String)"
"android.view.LayoutInflater.rInflate(XmlPullParser, View, AttributeSet)","android.view.LayoutInflater.createViewFromTag(java.lang.String, android.util.AttributeSet)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.view.View.setId(int)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.view.View.setVisibility(int)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.content.res.TypedArray.recycle()"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.util.AttributeSet.getAttributeValue(null, java.lang.String)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","java.lang.String.equals(java.lang.String)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.content.res.XmlResourceParser.close()"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.util.AttributeSet.getPositionDescription()"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.content.res.Resources.getLayout(int)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.view.View.setLayoutParams(android.view.ViewGroup.LayoutParams)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.content.Context.getResources()"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.util.AttributeSet.getAttributeResourceValue(null, java.lang.String, int)"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.view.LayoutInflater.getContext()"
"android.view.LayoutInflater.parseInclude(XmlPullParser, View, AttributeSet)","android.view.LayoutInflater.createViewFromTag(java.lang.String, android.util.AttributeSet)"
"android.view.LayoutInflater.onCreateView(String, AttributeSet)","android.view.LayoutInflater.createView(java.lang.String, java.lang.String, android.util.AttributeSet)"
"android.view.LayoutInflater.inflate(int, ViewGroup, boolean)","java.io.PrintStream.println(java.lang.String)"
"android.view.LayoutInflater.inflate(int, ViewGroup, boolean)","android.content.res.Resources.getLayout(int)"
"android.view.LayoutInflater.inflate(int, ViewGroup, boolean)","android.content.Context.getResources()"
"android.view.LayoutInflater.inflate(int, ViewGroup, boolean)","android.view.LayoutInflater.getContext()"
"android.view.LayoutInflater.inflate(int, ViewGroup, boolean)","android.content.res.XmlResourceParser.close()"
"android.view.LayoutInflater.failNotAllowed(String, String, AttributeSet)","android.util.AttributeSet.getPositionDescription()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.AndroidHttpClientConnection.flush()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","java.lang.Object.wait()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.Headers.getAcceptRanges()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.Connection.getBuf()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","java.lang.String.equalsIgnoreCase(java.lang.String)"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","java.io.InputStream.read(byte[], int, int)"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.Request.complete()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","java.io.InputStream.close()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.EventHandler.endData()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","java.lang.Throwable.getMessage()"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.EventHandler.data(byte[], int)"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.AndroidHttpClientConnection.receiveResponseEntity(android.net.http.Headers)"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.HttpLog.e(java.lang.String)"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.EventHandler.headers(android.net.http.Headers)"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.HttpLog.v(java.lang.String)"
"android.net.http.Request.readResponse(AndroidHttpClientConnection)","android.net.http.AndroidHttpClientConnection.parseResponseHeader(android.net.http.Headers)"
"android.net.http.Request.getHostPort()","java.lang.String.equals(java.lang.String)"
"android.net.http.Request.getUri()","android.net.http.Request.getHostPort()"
"android.net.http.Request.reset()","android.net.http.Request.setBodyProvider(java.io.InputStream, int)"
"android.net.http.Request.reset()","android.net.http.Request.getUri()"
"android.net.http.Request.reset()","java.io.InputStream.reset()"
"android.net.http.Request.reset()","android.net.http.HttpLog.v(java.lang.String)"
"android.net.http.Request.handleSslErrorResponse(boolean)","android.net.http.HttpsConnection.restartConnection(boolean)"
"android.net.http.Request.setBodyProvider(InputStream, int)","java.io.InputStream.mark(int)"
"android.net.http.Request.setBodyProvider(InputStream, int)","java.io.InputStream.markSupported()"
"android.net.http.Request.addHeader(String, String)","android.net.http.HttpLog.e(java.lang.String)"
"android.net.http.Request.addHeader(String, String)","java.lang.String.length()"
"android.net.http.Request.complete()","java.lang.Object.notifyAll()"
"android.net.http.Request.error(int, int)","android.net.http.EventHandler.error(int, java.lang.String)"
"android.net.http.Request.error(int, int)","android.content.Context.getText(int)"
"android.net.http.Request.error(int, int)","java.lang.CharSequence.toString()"
"android.net.http.Request.setLoadingPaused(boolean)","java.lang.Object.notify()"
"android.net.http.Request.addHeaders(Map)","android.net.http.Request.addHeader(java.lang.String, java.lang.String)"
"android.net.http.Request.addHeaders(Map)","java.util.Iterator.next()"
"android.net.http.Request.addHeaders(Map)","java.util.Map.entrySet()"
"android.net.http.Request.addHeaders(Map)","java.util.Map.Entry.getValue()"
"android.net.http.Request.addHeaders(Map)","java.util.Iterator.hasNext()"
"android.net.http.Request.addHeaders(Map)","java.util.Map.Entry.getKey()"
"android.net.http.Request.addHeaders(Map)","java.util.Set.iterator()"
"android.net.http.Request.waitUntilComplete()","java.lang.Object.wait()"
"android.net.http.Request.waitUntilComplete()","android.net.http.HttpLog.v(java.lang.String)"
"android.net.http.Request.cancel()","java.lang.Object.notify()"
"android.net.http.Request.cancel()","android.net.http.Request.getUri()"
"android.net.http.Request.cancel()","android.net.http.HttpLog.v(java.lang.String)"
"android.net.http.Request.cancel()","android.net.http.Connection.cancel()"
"android.net.http.Request.sendRequest(AndroidHttpClientConnection)","java.util.Iterator.next()"
"android.net.http.Request.sendRequest(AndroidHttpClientConnection)","java.util.Iterator.hasNext()"
"android.widget.BaseExpandableListAdapter.unregisterDataSetObserver(DataSetObserver)","android.database.Observable.unregisterObserver(android.database.DataSetObserver)"
"android.widget.BaseExpandableListAdapter.isEmpty()","android.widget.ExpandableListAdapter.getGroupCount()"
"android.widget.BaseExpandableListAdapter.notifyDataSetInvalidated()","android.database.DataSetObservable.notifyInvalidated()"
"android.widget.BaseExpandableListAdapter.notifyDataSetChanged()","android.database.DataSetObservable.notifyChanged()"
"android.widget.BaseExpandableListAdapter.registerDataSetObserver(DataSetObserver)","android.database.Observable.registerObserver(android.database.DataSetObserver)"
"android.pim.vcard.VCardParser_V30.cancel()","android.pim.vcard.VCardParserImpl_V21.cancel()"
"android.pim.vcard.VCardParser_V30.parse(InputStream, VCardInterpreter)","android.pim.vcard.VCardParserImpl_V21.parse(java.io.InputStream, android.pim.vcard.VCardInterpreter)"
"com.android.internal.view.InputBindResult.writeToParcel(Parcel, int)","android.os.Parcel.writeString(java.lang.String)"
"com.android.internal.view.InputBindResult.writeToParcel(Parcel, int)","android.os.Parcel.writeInt(int)"
"android.widget.HeaderViewListAdapter.areAllItemsEnabled()","android.widget.ListAdapter.areAllItemsEnabled()"
"android.widget.HeaderViewListAdapter.getView(int, View, ViewGroup)","android.widget.Adapter.getCount()"
"android.widget.HeaderViewListAdapter.getView(int, View, ViewGroup)","android.widget.HeaderViewListAdapter.getHeadersCount()"
"android.widget.HeaderViewListAdapter.getView(int, View, ViewGroup)","android.widget.Adapter.getView(int, android.view.View, android.view.ViewGroup)"
