"Caller","Callee"
"android.widget.QuickContactBadge.onInitializeAccessibilityEvent(AccessibilityEvent)","java.lang.Class.getName()"
"android.widget.QuickContactBadge.onInitializeAccessibilityEvent(AccessibilityEvent)","android.view.accessibility.AccessibilityRecord.setClassName(java.lang.String)"
"android.widget.QuickContactBadge.onInitializeAccessibilityNodeInfo(AccessibilityNodeInfo)","android.view.accessibility.AccessibilityNodeInfo.setClassName(java.lang.String)"
"android.widget.QuickContactBadge.onInitializeAccessibilityNodeInfo(AccessibilityNodeInfo)","java.lang.Class.getName()"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.os.BaseBundle.remove(java.lang.String)"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.os.BaseBundle.getString(java.lang.String)"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.provider.ContactsContract.Contacts.getLookupUri(long, java.lang.String)"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.content.Intent.putExtras(android.os.Bundle)"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.database.Cursor.getLong(int)"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.database.Cursor.getString(int)"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.net.Uri.fromParts(java.lang.String, java.lang.String, null)"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.database.Cursor.moveToFirst()"
"android.widget.QuickContactBadge.onQueryComplete(int, Object, Cursor)","android.database.Cursor.close()"
"android.widget.QuickContactBadge.onClick(View)","android.os.BaseBundle.putString(java.lang.String, java.lang.String)"
"android.widget.QuickContactBadge.onClick(View)","android.net.Uri.withAppendedPath(android.net.Uri, java.lang.String)"
"android.widget.QuickContactBadge.onClick(View)","android.net.Uri.encode(java.lang.String)"
"android.widget.QuickContactBadge.onClick(View)","android.content.AsyncQueryHandler.startQuery(int, android.os.Bundle, android.net.Uri, java.lang.String[], null, null, null)"
"android.widget.QuickContactBadge.assignContactFromPhone(String, boolean, Bundle)","android.content.AsyncQueryHandler.startQuery(int, null, android.net.Uri, java.lang.String[], null, null, null)"
"android.widget.QuickContactBadge.assignContactFromPhone(String, boolean, Bundle)","android.net.Uri.withAppendedPath(android.net.Uri, java.lang.String)"
"android.widget.QuickContactBadge.assignContactFromEmail(String, boolean, Bundle)","android.content.AsyncQueryHandler.startQuery(int, null, android.net.Uri, java.lang.String[], null, null, null)"
"android.widget.QuickContactBadge.assignContactFromEmail(String, boolean, Bundle)","android.net.Uri.withAppendedPath(android.net.Uri, java.lang.String)"
"android.widget.QuickContactBadge.assignContactFromEmail(String, boolean, Bundle)","android.net.Uri.encode(java.lang.String)"
"android.animation.IntKeyframeSet.clone()","java.util.List.size()"
"android.animation.IntKeyframeSet.clone()","android.animation.Keyframe.clone()"
"android.animation.IntKeyframeSet.clone()","java.util.List.get(int)"
"android.animation.IntKeyframeSet.getValue(float)","android.animation.IntKeyframeSet.getIntValue(float)"
"android.animation.IntKeyframeSet.getIntValue(float)","android.animation.Keyframe.IntKeyframe.getIntValue()"
"android.animation.IntKeyframeSet.getIntValue(float)","java.lang.Number.intValue()"
"android.animation.IntKeyframeSet.getIntValue(float)","android.animation.Keyframe.getValue()"
"android.animation.IntKeyframeSet.getIntValue(float)","android.animation.Keyframe.getFraction()"
"android.animation.IntKeyframeSet.getIntValue(float)","android.animation.Keyframe.getInterpolator()"
"android.animation.IntKeyframeSet.getIntValue(float)","android.animation.TimeInterpolator.getInterpolation(float)"
"android.animation.IntKeyframeSet.getIntValue(float)","android.animation.TypeEvaluator.evaluate(float, int, int)"
"android.animation.IntKeyframeSet.getIntValue(float)","java.util.List.get(int)"
"android.util.Base64.encodeToString(byte[], int, int, int)","android.util.Base64.encode(byte[], int, int, int)"
"android.util.Base64.encodeToString(byte[], int)","android.util.Base64.encode(byte[], int)"
"android.util.Base64.encode(byte[], int, int, int)","android.util.Base64.Encoder.process(byte[], int, int, boolean)"
"android.util.Base64.decode(String, int)","java.lang.String.getBytes()"
"android.util.Base64.decode(String, int)","android.util.Base64.decode(byte[], int)"
"android.util.Base64.decode(byte[], int, int, int)","java.lang.System.arraycopy(byte[], int, byte[], int, int)"
"android.util.Base64.decode(byte[], int, int, int)","android.util.Base64.Decoder.process(byte[], int, int, boolean)"
"android.util.Base64.decode(byte[], int)","android.util.Base64.decode(byte[], int, int, int)"
"android.util.Base64.encode(byte[], int)","android.util.Base64.encode(byte[], int, int, int)"
"android.widget.TextView.getTextForAccessibility()","android.text.TextUtils.isEmpty(java.lang.CharSequence)"
"android.widget.TextView.getBottomVerticalOffset(boolean)","android.text.Layout.getHeight()"
"android.widget.TextView.getBottomVerticalOffset(boolean)","java.lang.CharSequence.length()"
"android.widget.TextView.getExtendedPaddingTop()","android.text.Layout.getLineCount()"
"android.widget.TextView.getExtendedPaddingTop()","android.text.Layout.getLineTop(int)"
"android.widget.TextView.shouldSpeakPasswordsForAccessibility()","android.provider.Settings.Secure.getIntForUser(android.content.ContentResolver, java.lang.String, int, int)"
